SEMBOL,FİYAT,SKOR,GEÇEN ANALİZLER,TAKILDIĞI ANALİZLER,KURUM ALIŞ-SATIŞ ANALİZİ,OLUSTURULMA_ZAMANI
MNDTR,5.66,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.51, satış=0.09 | Alışlar: BOFA 2g: +0.23, BOFA 3g: +0.22, KAMU 1g: +0.03, TERA 2g: +0.02, TERA 3g: +0.02 | Satışlar: BOFA 1g: -0.05, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 1g: -0.01",16.07.2025 22:41
BANVT,213.2,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.40, satış=0.58 | Alışlar: KAMU 1g: +0.05, KAMU 2g: +0.12, KAMU 3g: +0.12, TERA 2g: +0.06, TERA 3g: +0.06 | Satışlar: BOFA 1g: -0.10, BOFA 2g: -0.22, BOFA 3g: -0.22, TERA 1g: -0.06",16.07.2025 22:41
PASEU,88.65,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=2.22, satış=0.48 | Alışlar: BOFA 2g: +0.18, BOFA 3g: +0.18, TERA 1g: +0.45, TERA 2g: +0.70, TERA 3g: +0.71 | Satışlar: BOFA 1g: -0.06, KAMU 1g: -0.11, KAMU 2g: -0.16, KAMU 3g: -0.16",16.07.2025 22:41
INDES,7.09,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.15, satış=0.58 | Alışlar: TERA 1g: +0.05, TERA 2g: +0.05, TERA 3g: +0.05 | Satışlar: BOFA 1g: -0.04, BOFA 2g: -0.16, BOFA 3g: -0.17, KAMU 1g: -0.05, KAMU 2g: -0.08, KAMU 3g: -0.08",16.07.2025 22:41
OSMEN,9.02,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.79, satış=0.17 | Alışlar: BOFA 1g: +0.33, KAMU 1g: +0.11, KAMU 2g: +0.62, KAMU 3g: +0.61, TERA 1g: +0.07, TERA 2g: +0.02, TERA 3g: +0.03 | Satışlar: BOFA 2g: -0.10, BOFA 3g: -0.07",16.07.2025 22:41
FORMT,3.95,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.97, satış=1.62 | Alışlar: KAMU 1g: +0.20, KAMU 2g: +0.09, KAMU 3g: +0.10, TERA 1g: +0.24, TERA 2g: +0.14, TERA 3g: +0.20 | Satışlar: BOFA 1g: -0.46, BOFA 2g: -0.52, BOFA 3g: -0.64",16.07.2025 22:41
ALKA,7.39,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.64, satış=0.45 | Alışlar: BOFA 1g: +0.16, BOFA 2g: +0.08, BOFA 3g: +0.10, KAMU 1g: +0.02, KAMU 2g: +0.16, KAMU 3g: +0.11 | Satışlar: TERA 1g: -0.23, TERA 2g: -0.10, TERA 3g: -0.13",16.07.2025 22:41
TUKAS,2.84,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.90, satış=0.39 | Alışlar: BOFA 1g: +0.45, BOFA 2g: +0.55, BOFA 3g: +0.71, TERA 1g: +0.07, TERA 2g: +0.02, TERA 3g: +0.09 | Satışlar: KAMU 1g: -0.07, KAMU 2g: -0.17, KAMU 3g: -0.16",16.07.2025 22:41
KOCMT,13.89,4,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.31, satış=0.12 | Alışlar: BOFA 1g: +0.14, BOFA 2g: +0.26, BOFA 3g: +0.27, KAMU 1g: +0.25, TERA 1g: +0.16, TERA 2g: +0.10, TERA 3g: +0.12 | Satışlar: KAMU 2g: -0.06, KAMU 3g: -0.06",16.07.2025 22:41
TEZOL,15.77,3,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.29, satış=0.70 | Alışlar: KAMU 2g: +0.12, KAMU 3g: +0.15, TERA 1g: +0.02 | Satışlar: BOFA 1g: -0.10, BOFA 2g: -0.03, BOFA 3g: -0.04, KAMU 1g: -0.05, TERA 2g: -0.24, TERA 3g: -0.23",16.07.2025 22:41
AVTUR,11.14,3,RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.05, satış=0.22 | Alışlar: KAMU 1g: +0.05 | Satışlar: KAMU 2g: -0.10, KAMU 3g: -0.10, TERA 1g: -0.00, TERA 2g: -0.00, TERA 3g: -0.01",16.07.2025 22:41
GSDDE,9.39,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.35, satış=0.17 | Alışlar: BOFA 1g: +0.08, BOFA 2g: +0.23, BOFA 3g: +0.24, KAMU 2g: +0.20, KAMU 3g: +0.20, TERA 1g: +0.15, TERA 2g: +0.12, TERA 3g: +0.13 | Satışlar: KAMU 1g: -0.17",16.07.2025 22:41
RTALB,2.96,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.63, satış=0.31 | Alışlar: BOFA 1g: +0.36, BOFA 2g: +0.35, BOFA 3g: +0.47, KAMU 1g: +0.00, KAMU 2g: +0.31, KAMU 3g: +0.13 | Satışlar: TERA 1g: -0.08, TERA 2g: -0.10, TERA 3g: -0.13",16.07.2025 22:41
TEKTU,11.5,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=1.24, satış=1.32 | Alışlar: BOFA 3g: +0.01, KAMU 1g: +0.57, KAMU 2g: +0.38, KAMU 3g: +0.27 | Satışlar: TERA 1g: -0.54, TERA 2g: -0.40, TERA 3g: -0.39",16.07.2025 22:41
AYCES,487.75,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.70, satış=3.02 | Alışlar: BOFA 1g: +0.35, KAMU 2g: +0.14, KAMU 3g: +0.13, TERA 1g: +0.08 | Satışlar: BOFA 2g: -0.84, BOFA 3g: -0.84, KAMU 1g: -0.76, TERA 2g: -0.29, TERA 3g: -0.29",16.07.2025 22:41
SEGYO,4.25,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.76, satış=0.26 | Alışlar: BOFA 1g: +0.40, BOFA 2g: +0.45, BOFA 3g: +0.55, KAMU 2g: +0.15, KAMU 3g: +0.17, TERA 2g: +0.02, TERA 3g: +0.02 | Satışlar: KAMU 1g: -0.23, TERA 1g: -0.03",16.07.2025 22:41
INGRM,400.5,1,Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.15, satış=4.35 | Alışlar: TERA 2g: +0.07, TERA 3g: +0.07 | Satışlar: BOFA 1g: -0.64, BOFA 2g: -0.71, BOFA 3g: -0.71, KAMU 1g: -0.41, KAMU 2g: -0.61, KAMU 3g: -0.62, TERA 1g: -0.64",16.07.2025 22:41
BASGZ,37.1,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.24, satış=0.06 | Alışlar: BOFA 1g: +0.30, BOFA 2g: +0.28, BOFA 3g: +0.29, KAMU 1g: +0.17, KAMU 2g: +0.10, KAMU 3g: +0.11 | Satışlar: TERA 1g: -0.04, TERA 2g: -0.01, TERA 3g: -0.01",16.07.2025 22:41
AVGYO,9.35,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.12, satış=0.30 | Alışlar: BOFA 1g: +0.00, BOFA 2g: +0.02, BOFA 3g: +0.02, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 1g: +0.04 | Satışlar: KAMU 1g: -0.12, TERA 2g: -0.09, TERA 3g: -0.09",16.07.2025 22:41
NTHOL,45.14,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.03, satış=0.15 | Alışlar: BOFA 2g: +0.02, BOFA 3g: +0.01 | Satışlar: BOFA 1g: -0.12, KAMU 1g: -0.01, KAMU 2g: -0.00, KAMU 3g: -0.00, TERA 1g: -0.00, TERA 2g: -0.01, TERA 3g: -0.01",16.07.2025 22:41
OZSUB,23.26,2,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.21, satış=1.32 | Alışlar: BOFA 1g: +0.21 | Satışlar: BOFA 2g: -0.08, BOFA 3g: -0.07, KAMU 1g: -0.28, KAMU 2g: -0.31, KAMU 3g: -0.28, TERA 1g: -0.08, TERA 2g: -0.11, TERA 3g: -0.11",16.07.2025 22:41
TGSAS,104.0,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.04, satış=0.80 | Alışlar: TERA 1g: +0.01, TERA 2g: +0.01, TERA 3g: +0.01 | Satışlar: BOFA 1g: -0.04, BOFA 2g: -0.18, BOFA 3g: -0.18, KAMU 1g: -0.09, KAMU 2g: -0.15, KAMU 3g: -0.16",16.07.2025 22:41
TSGYO,7.18,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.70, satış=1.40 | Alışlar: BOFA 1g: +0.06, BOFA 2g: +0.02, BOFA 3g: +0.02, TERA 1g: +0.10, TERA 2g: +0.25, TERA 3g: +0.26 | Satışlar: KAMU 1g: -0.04, KAMU 2g: -0.68, KAMU 3g: -0.68",16.07.2025 22:41
HUNER,3.98,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.80, satış=0.56 | Alışlar: BOFA 1g: +0.11, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 1g: +0.28, TERA 2g: +0.15, TERA 3g: +0.22 | Satışlar: BOFA 2g: -0.16, BOFA 3g: -0.14, KAMU 1g: -0.26",16.07.2025 22:41
IZFAS,173.6,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.54, satış=0.77 | Alışlar: BOFA 2g: +0.05, BOFA 3g: +0.05, KAMU 1g: +0.05, TERA 1g: +0.05, TERA 2g: +0.17, TERA 3g: +0.16 | Satışlar: BOFA 1g: -0.32, KAMU 2g: -0.22, KAMU 3g: -0.22",16.07.2025 22:41
BAKAB,40.24,6,EMA kısa vadede yukarı trend; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=13.21, satış=10.16 | Alışlar: BOFA 1g: +0.24, BOFA 2g: +1.22, BOFA 3g: +1.23, TERA 1g: +3.59, TERA 2g: +3.42, TERA 3g: +3.50 | Satışlar: KAMU 1g: -3.41, KAMU 2g: -3.37, KAMU 3g: -3.38",16.07.2025 22:41
AKFGY,2.69,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.57, satış=0.31 | Alışlar: BOFA 1g: +0.04, BOFA 2g: +0.19, BOFA 3g: +0.20, TERA 2g: +0.10, TERA 3g: +0.04 | Satışlar: KAMU 1g: -0.07, KAMU 2g: -0.05, KAMU 3g: -0.08, TERA 1g: -0.10",16.07.2025 22:41
BINHO,198.3,6,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.33, satış=0.40 | Alışlar: BOFA 2g: +0.31, BOFA 3g: +0.31, KAMU 1g: +0.16, KAMU 2g: +0.28, KAMU 3g: +0.28 | Satışlar: BOFA 1g: -0.06, TERA 1g: -0.12, TERA 2g: -0.11, TERA 3g: -0.11",16.07.2025 22:41
LIDER,236.0,5,Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.43, satış=0.06 | Alışlar: BOFA 1g: +0.10, BOFA 2g: +0.13, BOFA 3g: +0.13, TERA 1g: +0.02, TERA 2g: +0.03, TERA 3g: +0.03 | Satışlar: KAMU 1g: -0.02, KAMU 2g: -0.02, KAMU 3g: -0.02",16.07.2025 22:41
AHSGY,21.2,4,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.53, satış=0.49 | Alışlar: KAMU 1g: +0.09, KAMU 2g: +0.22, KAMU 3g: +0.22 | Satışlar: BOFA 1g: -0.01, BOFA 2g: -0.02, BOFA 3g: -0.02, TERA 1g: -0.01, TERA 2g: -0.22, TERA 3g: -0.22",16.07.2025 22:41
DENGE,2.16,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.00, satış=1.23 | Alışlar:  | Satışlar: KAMU 1g: -0.06, KAMU 2g: -0.26, KAMU 3g: -0.25, TERA 1g: -0.09, TERA 2g: -0.26, TERA 3g: -0.30",16.07.2025 22:41
AGESA,152.5,3,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.09, satış=0.18 | Alışlar: BOFA 1g: +0.01, BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.02 | Satışlar: KAMU 2g: -0.04, KAMU 3g: -0.04, TERA 1g: -0.01, TERA 2g: -0.04, TERA 3g: -0.04",16.07.2025 22:41
DAPGM,8.72,5,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.37, satış=0.28 | Alışlar: BOFA 1g: +0.09, BOFA 2g: +0.12, BOFA 3g: +0.13, KAMU 1g: +0.00, TERA 1g: +0.03 | Satışlar: KAMU 2g: -0.16, KAMU 3g: -0.01, TERA 2g: -0.03, TERA 3g: -0.08",16.07.2025 22:41
INTEM,185.5,2,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.17, satış=0.77 | Alışlar: KAMU 1g: +0.08, KAMU 2g: +0.04, KAMU 3g: +0.04 | Satışlar: BOFA 1g: -0.16, BOFA 2g: -0.04, BOFA 3g: -0.04, TERA 1g: -0.05, TERA 2g: -0.24, TERA 3g: -0.24",16.07.2025 22:41
GLBMD,11.14,4,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=1.15, satış=1.37 | Alışlar: BOFA 2g: +0.33, BOFA 3g: +0.33, TERA 1g: +0.15, TERA 2g: +0.16, TERA 3g: +0.17 | Satışlar: BOFA 1g: -0.01, KAMU 1g: -0.14, KAMU 2g: -0.61, KAMU 3g: -0.61",16.07.2025 22:41
KZBGY,12.01,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.95, satış=0.31 | Alışlar: BOFA 2g: +0.24, BOFA 3g: +0.22, KAMU 1g: +0.00, KAMU 2g: +0.34, KAMU 3g: +0.34, TERA 1g: +0.18, TERA 2g: +0.31, TERA 3g: +0.32 | Satışlar: BOFA 1g: -0.31",16.07.2025 22:41
BESLR,14.35,4,Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.34, satış=0.25 | Alışlar: BOFA 1g: +0.09, BOFA 2g: +0.12, BOFA 3g: +0.13, KAMU 1g: +0.01 | Satışlar: KAMU 2g: -0.12, KAMU 3g: -0.12, TERA 1g: -0.01, TERA 2g: -0.00, TERA 3g: -0.00",16.07.2025 22:41
PRKAB,31.92,5,EMA kısa vadede yukarı trend; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.32, satış=0.88 | Alışlar: KAMU 1g: +0.42, TERA 1g: +0.09, TERA 2g: +0.40, TERA 3g: +0.40 | Satışlar: BOFA 1g: -0.19, BOFA 2g: -0.34, BOFA 3g: -0.35, KAMU 2g: -0.00, KAMU 3g: -0.00",16.07.2025 22:41
KAYSE,18.98,5,Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.23, satış=0.01 | Alışlar: BOFA 1g: +0.03, BOFA 2g: +0.07, BOFA 3g: +0.07, KAMU 1g: +0.02, TERA 1g: +0.01, TERA 2g: +0.02, TERA 3g: +0.02 | Satışlar: KAMU 2g: -0.00, KAMU 3g: -0.00",16.07.2025 22:41
METRO,3.04,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; MACD pozitif ve histogram artışta; Momentum pozitif; PD/DD makul düzeyde,RSI son 3 gün artış (2); OBV pozitif; Stochastic K < 30; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.49, satış=0.32 | Alışlar: KAMU 1g: +0.44, KAMU 2g: +0.04, TERA 2g: +0.01 | Satışlar: BOFA 1g: -0.09, BOFA 2g: -0.04, BOFA 3g: -0.07, KAMU 3g: -0.02, TERA 1g: -0.08, TERA 3g: -0.03",16.07.2025 22:41
OYLUM,9.25,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Kurum hareketi nötr. Toplam alış=0.64, satış=0.58 | Alışlar: BOFA 1g: +0.17, BOFA 2g: +0.21, BOFA 3g: +0.22, KAMU 2g: +0.01, KAMU 3g: +0.03 | Satışlar: KAMU 1g: -0.11, TERA 1g: -0.10, TERA 2g: -0.18, TERA 3g: -0.19",16.07.2025 22:41
KLYPV,67.9,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.60, satış=0.75 | Alışlar: BOFA 1g: +0.10, TERA 1g: +0.00, TERA 2g: +0.25, TERA 3g: +0.25 | Satışlar: BOFA 2g: -0.07, BOFA 3g: -0.07, KAMU 1g: -0.01, KAMU 2g: -0.29, KAMU 3g: -0.29",16.07.2025 22:41
DOAS,185.4,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.20, satış=0.08 | Alışlar: BOFA 2g: +0.07, BOFA 3g: +0.07, KAMU 1g: +0.06 | Satışlar: BOFA 1g: -0.00, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 1g: -0.02, TERA 2g: -0.01, TERA 3g: -0.01",16.07.2025 22:41
KTSKR,60.2,6,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.96, satış=0.09 | Alışlar: BOFA 1g: +0.18, BOFA 2g: +0.03, BOFA 3g: +0.04, KAMU 1g: +0.20, TERA 1g: +0.08, TERA 2g: +0.21, TERA 3g: +0.21 | Satışlar: KAMU 2g: -0.04, KAMU 3g: -0.05",16.07.2025 22:41
ARDYZ,28.96,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.27, satış=0.41 | Alışlar: KAMU 1g: +0.01, KAMU 2g: +0.13, KAMU 3g: +0.13 | Satışlar: BOFA 1g: -0.05, BOFA 2g: -0.08, BOFA 3g: -0.08, TERA 1g: -0.01, TERA 2g: -0.10, TERA 3g: -0.10",16.07.2025 22:41
